1 1 1 , 200 100 200 , 30 30 30 , 
-7.58581 -7.48839 -10.2968 , 206.448 103.21 206.458 , 63.9745 57.5873 27.9871 , 
-7.7463 -7.6456 -10.4921 , 206.553 103.262 206.563 , 64.7312 58.2407 28.0875 , 
-7.90721 -7.80318 -10.6877 , 206.658 103.313 206.669 , 65.4913 58.8977 28.1892 , 
-8.06853 -7.96115 -10.8836 , 206.763 103.365 206.774 , 66.2547 59.5581 28.2921 , 
-8.23026 -8.11948 -11.0796 , 206.868 103.417 206.88 , 67.0214 60.222 28.3962 , 
-8.39238 -8.27816 -11.2758 , 206.973 103.469 206.986 , 67.7913 60.8891 28.5014 , 
-8.55489 -8.4372 -11.4723 , 207.078 103.521 207.092 , 68.5642 61.5595 28.6076 , 
-8.71778 -8.59658 -11.6689 , 207.184 103.573 207.197 , 69.3401 62.2331 28.7147 , 
-8.88104 -8.75629 -11.8658 , 207.289 103.625 207.304 , 70.1189 62.9098 28.8228 , 
-9.04467 -8.91633 -12.0628 , 207.395 103.677 207.41 , 70.9006 63.5895 28.9318 , 
-9.20864 -9.07669 -12.26 , 207.5 103.729 207.516 , 71.6849 64.2722 29.0415 , 
-9.37297 -9.23736 -12.4574 , 207.606 103.782 207.622 , 72.4719 64.9577 29.152 , 
-9.53763 -9.39834 -12.655 , 207.711 103.834 207.729 , 73.2616 65.646 29.2632 , 
-9.70262 -9.55962 -12.8528 , 207.817 103.886 207.835 , 74.0537 66.3371 29.3751 , 
-9.86795 -9.72119 -13.0507 , 207.923 103.938 207.942 , 74.8482 67.031 29.4875 , 
-10.0336 -9.88305 -13.2487 , 208.029 103.99 208.049 , 75.6452 67.7274 29.6005 , 
-10.1995 -10.0452 -13.447 , 208.135 104.043 208.156 , 76.4444 68.4264 29.714 , 
-10.3658 -10.2076 -13.6454 , 208.241 104.095 208.263 , 77.2459 69.128 29.828 , 
-10.5324 -10.3703 -13.8439 , 208.347 104.147 208.37 , 78.0496 69.832 29.9423 , 
-10.6992 -10.5332 -14.0426 , 208.454 104.199 208.477 , 78.8554 70.5384 30.0571 , 
-10.8663 -10.6965 -14.2414 , 208.56 104.252 208.584 , 79.6633 71.2472 30.1722 , 
-11.0338 -10.8599 -14.4404 , 208.666 104.304 208.692 , 80.4731 71.9583 30.2875 , 
-11.2015 -11.0236 -14.6395 , 208.773 104.356 208.799 , 81.2849 72.6717 30.4032 , 
-11.3694 -11.1876 -14.8387 , 208.88 104.409 208.907 , 82.0986 73.3873 30.519 , 
-11.5377 -11.3518 -15.0381 , 208.986 104.461 209.015 , 82.9141 74.1051 30.635 , 
-11.7062 -11.5162 -15.2376 , 209.093 104.514 209.122 , 83.7315 74.825 30.7512 , 
-11.8749 -11.6809 -15.4372 , 209.2 104.566 209.23 , 84.5505 75.547 30.8674 , 
-12.0439 -11.8458 -15.637 , 209.307 104.619 209.339 , 85.3712 76.271 30.9837 , 
-12.2132 -12.0109 -15.8368 , 209.414 104.671 209.447 , 86.1936 76.9971 31.1001 , 
-12.3826 -12.1762 -16.0368 , 209.521 104.724 209.555 , 87.0176 77.7251 31.2164 , 
-12.5524 -12.3417 -16.2369 , 209.628 104.776 209.664 , 87.8431 78.4551 31.3327 , 
-12.7223 -12.5075 -16.4371 , 209.735 104.829 209.772 , 88.6701 79.1869 31.449 , 
-12.8925 -12.6734 -16.6375 , 209.843 104.881 209.881 , 89.4985 79.9207 31.5651 , 
-13.0629 -12.8396 -16.8379 , 209.95 104.934 209.99 , 90.3284 80.6562 31.6812 , 
-13.2336 -13.0059 -17.0384 , 210.058 104.987 210.099 , 91.1596 81.3936 31.797 , 
-13.4044 -13.1725 -17.2391 , 210.165 105.039 210.208 , 91.9922 82.1327 31.9127 , 
-13.5755 -13.3392 -17.4398 , 210.273 105.092 210.317 , 92.8261 82.8735 32.0282 , 
-13.7467 -13.5061 -17.6406 , 210.381 105.144 210.426 , 93.6612 83.6161 32.1434 , 
-13.9182 -13.6732 -17.8416 , 210.488 105.197 210.536 , 94.4976 84.3603 32.2584 , 
-14.0899 -13.8405 -18.0426 , 210.596 105.25 210.645 , 95.3351 85.1062 32.373 , 
-14.2618 -14.008 -18.2437 , 210.704 105.303 210.755 , 96.1738 85.8536 32.4874 , 
-14.4338 -14.1756 -18.445 , 210.812 105.355 210.865 , 97.0136 86.6027 32.6013 , 
-14.6061 -14.3434 -18.6463 , 210.921 105.408 210.975 , 97.8545 87.3533 32.7149 , 
-14.7785 -14.5114 -18.8477 , 211.029 105.461 211.085 , 98.6964 88.1055 32.8281 , 
-14.9512 -14.6795 -19.0492 , 211.137 105.514 211.195 , 99.5394 88.8592 32.9409 , 
-15.124 -14.8478 -19.2507 , 211.246 105.566 211.305 , 100.383 89.6144 33.0532 , 
-15.297 -15.0163 -19.4524 , 211.354 105.619 211.416 , 101.228 90.371 33.1651 , 
-15.4702 -15.1849 -19.6541 , 211.463 105.672 211.526 , 102.074 91.1291 33.2764 , 
-15.6435 -15.3537 -19.8559 , 211.571 105.725 211.637 , 102.921 91.8886 33.3872 , 
-15.817 -15.5227 -20.0578 , 211.68 105.778 211.748 , 103.768 92.6496 33.4975 , 
-15.9907 -15.6917 -20.2598 , 211.789 105.831 211.859 , 104.617 93.4119 33.6072 , 
-16.1645 -15.861 -20.4618 , 211.898 105.883 211.97 , 105.466 94.1756 33.7163 , 
-16.3385 -16.0303 -20.6639 , 212.007 105.936 212.081 , 106.316 94.9406 33.8248 , 
-16.5127 -16.1999 -20.8661 , 212.116 105.989 212.193 , 107.167 95.7069 33.9327 , 
-16.687 -16.3695 -21.0684 , 212.225 106.042 212.304 , 108.019 96.4746 34.0399 , 
-16.8615 -16.5393 -21.2707 , 212.334 106.095 212.416 , 108.871 97.2435 34.1465 , 
-17.0361 -16.7093 -21.4731 , 212.444 106.148 212.528 , 109.724 98.0138 34.2523 , 
-17.2109 -16.8793 -21.6756 , 212.553 106.201 212.64 , 110.578 98.7853 34.3575 , 
-17.3859 -17.0495 -21.8782 , 212.663 106.254 212.752 , 111.432 99.558 34.4619 , 
-17.5609 -17.2199 -22.0808 , 212.772 106.307 212.864 , 112.287 100.332 34.5655 , 
-17.7362 -17.3903 -22.2834 , 212.882 106.36 212.977 , 113.143 101.107 34.6684 , 
-17.9115 -17.5609 -22.4862 , 212.992 106.413 213.089 , 113.999 101.884 34.7705 , 
-18.087 -17.7316 -22.689 , 213.101 106.466 213.202 , 114.856 102.661 34.8718 , 
-18.2627 -17.9025 -22.8918 , 213.211 106.518 213.315 , 115.713 103.44 34.9723 , 
-18.4384 -18.0734 -23.0947 , 213.321 106.571 213.428 , 116.571 104.22 35.0719 , 
-18.6143 -18.2445 -23.2977 , 213.431 106.624 213.541 , 117.43 105.001 35.1707 , 
-18.7904 -18.4157 -23.5008 , 213.542 106.677 213.654 , 118.289 105.783 35.2686 , 
-18.9665 -18.587 -23.7038 , 213.652 106.73 213.767 , 119.148 106.566 35.3656 , 
-19.1428 -18.7585 -23.907 , 213.762 106.783 213.881 , 120.008 107.351 35.4617 , 
-19.3193 -18.93 -24.1102 , 213.872 106.836 213.995 , 120.868 108.137 35.5568 , 
-19.4958 -19.1016 -24.3135 , 213.983 106.889 214.108 , 121.729 108.923 35.651 , 
-19.6725 -19.2734 -24.5168 , 214.093 106.942 214.222 , 122.59 109.711 35.7443 , 
-19.8493 -19.4453 -24.7202 , 214.204 106.995 214.336 , 123.452 110.5 35.8366 , 
-20.0262 -19.6172 -24.9236 , 214.315 107.048 214.451 , 124.314 111.29 35.9278 , 
