1 1 1 , 200 100 200 , 30 30 30 , 
-45.5174 -44.3451 -53.704 , 230.327 114.152 232.041 , 247.109 231.53 35.8337 , 
-45.7028 -44.5247 -53.9109 , 230.442 114.199 232.177 , 248.004 232.457 35.7435 , 
-45.8881 -44.7043 -54.1178 , 230.558 114.246 232.313 , 248.9 233.385 35.6522 , 
-46.0736 -44.8839 -54.3246 , 230.674 114.293 232.449 , 249.797 234.314 35.56 , 
-46.259 -45.0636 -54.5315 , 230.79 114.339 232.585 , 250.693 235.244 35.4668 , 
-46.4445 -45.2433 -54.7384 , 230.905 114.386 232.721 , 251.59 236.174 35.3727 , 
-46.63 -45.423 -54.9453 , 231.021 114.432 232.858 , 252.488 237.106 35.2775 , 
-46.8155 -45.6028 -55.1522 , 231.137 114.479 232.994 , 253.386 238.038 35.1815 , 
-47.0011 -45.7826 -55.3592 , 231.253 114.525 233.131 , 254.284 238.972 35.0844 , 
-47.1867 -45.9624 -55.5661 , 231.368 114.572 233.267 , 255.183 239.906 34.9864 , 
-47.3723 -46.1422 -55.7731 , 231.484 114.618 233.404 , 256.082 240.841 34.8875 , 
-47.5579 -46.3221 -55.98 , 231.6 114.664 233.541 , 256.981 241.777 34.7877 , 
-47.7436 -46.502 -56.187 , 231.716 114.711 233.678 , 257.881 242.714 34.6869 , 
-47.9293 -46.6819 -56.394 , 231.831 114.757 233.815 , 258.781 243.652 34.5852 , 
-48.115 -46.8618 -56.6009 , 231.947 114.803 233.953 , 259.681 244.59 34.4827 , 
-48.3008 -47.0418 -56.8079 , 232.063 114.849 234.09 , 260.582 245.53 34.3792 , 
-48.4866 -47.2217 -57.0149 , 232.178 114.895 234.227 , 261.484 246.47 34.2748 , 
-48.6724 -47.4018 -57.222 , 232.294 114.941 234.365 , 262.385 247.411 34.1696 , 
-48.8582 -47.5818 -57.429 , 232.409 114.986 234.503 , 263.287 248.353 34.0635 , 
-49.0441 -47.7618 -57.636 , 232.525 115.032 234.64 , 264.19 249.296 33.9565 , 
-49.23 -47.9419 -57.8431 , 232.641 115.078 234.778 , 265.093 250.24 33.8486 , 
-49.4159 -48.122 -58.0501 , 232.756 115.124 234.916 , 265.996 251.185 33.7399 , 
-49.6018 -48.3022 -58.2572 , 232.872 115.169 235.054 , 266.9 252.13 33.6304 , 
-49.7878 -48.4823 -58.4643 , 232.987 115.215 235.192 , 267.804 253.077 33.52 , 
-49.9738 -48.6625 -58.6713 , 233.103 115.26 235.33 , 268.708 254.024 33.4088 , 
-50.1598 -48.8427 -58.8784 , 233.219 115.306 235.469 , 269.613 254.972 33.2968 , 
-50.3459 -49.0229 -59.0855 , 233.334 115.351 235.607 , 270.518 255.921 33.1839 , 
-50.5319 -49.2032 -59.2927 , 233.45 115.396 235.746 , 271.424 256.87 33.0703 , 
-50.718 -49.3835 -59.4998 , 233.565 115.441 235.884 , 272.33 257.821 32.9558 , 
-50.9042 -49.5638 -59.7069 , 233.681 115.487 236.023 , 273.236 258.772 32.8406 , 
-51.0903 -49.7441 -59.914 , 233.796 115.532 236.162 , 274.143 259.724 32.7245 , 
-51.2765 -49.9244 -60.1212 , 233.911 115.577 236.3 , 275.05 260.677 32.6077 , 
-51.4627 -50.1048 -60.3283 , 234.027 115.622 236.439 , 275.958 261.631 32.4901 , 
-51.6489 -50.2852 -60.5355 , 234.142 115.667 236.578 , 276.866 262.585 32.3717 , 
-51.8352 -50.4656 -60.7427 , 234.258 115.711 236.717 , 277.774 263.541 32.2526 , 
-52.0214 -50.646 -60.9498 , 234.373 115.756 236.857 , 278.683 264.497 32.1327 , 
-52.2077 -50.8265 -61.157 , 234.489 115.801 236.996 , 279.592 265.454 32.0121 , 
-52.394 -51.0069 -61.3642 , 234.604 115.846 237.135 , 280.501 266.412 31.8907 , 
-52.5804 -51.1874 -61.5714 , 234.719 115.89 237.275 , 281.411 267.37 31.7686 , 
-52.7667 -51.368 -61.7786 , 234.835 115.935 237.414 , 282.322 268.33 31.6458 , 
-52.9531 -51.5485 -61.9859 , 234.95 115.98 237.554 , 283.232 269.29 31.5222 , 
-53.1395 -51.7291 -62.1931 , 235.065 116.024 237.693 , 284.143 270.25 31.398 , 
-53.326 -51.9096 -62.4003 , 235.18 116.068 237.833 , 285.055 271.212 31.273 , 
-53.5124 -52.0902 -62.6076 , 235.296 116.113 237.973 , 285.967 272.174 31.1473 , 
-53.6989 -52.2709 -62.8148 , 235.411 116.157 238.113 , 286.879 273.138 31.0209 , 
-53.8854 -52.4515 -63.0221 , 235.526 116.201 238.253 , 287.792 274.102 30.8939 , 
-54.072 -52.6322 -63.2294 , 235.641 116.246 238.393 , 288.705 275.066 30.7661 , 
-54.2585 -52.8129 -63.4366 , 235.757 116.29 238.533 , 289.618 276.032 30.6377 , 
-54.4451 -52.9936 -63.6439 , 235.872 116.334 238.673 , 290.532 276.998 30.5086 , 
-54.6317 -53.1743 -63.8512 , 235.987 116.378 238.813 , 291.446 277.965 30.3789 , 
-54.8183 -53.3551 -64.0585 , 236.102 116.422 238.954 , 292.361 278.933 30.2484 , 
-55.0049 -53.5358 -64.2658 , 236.217 116.466 239.094 , 293.276 279.901 30.1174 , 
-55.1916 -53.7166 -64.4731 , 236.332 116.51 239.235 , 294.191 280.87 29.9856 , 
-55.3783 -53.8974 -64.6805 , 236.448 116.553 239.375 , 295.107 281.84 29.8533 , 
-55.565 -54.0783 -64.8878 , 236.563 116.597 239.516 , 296.023 282.811 29.7203 , 
-55.7517 -54.2591 -65.0951 , 236.678 116.641 239.656 , 296.939 283.782 29.5867 , 
-55.9384 -54.44 -65.3025 , 236.793 116.685 239.797 , 297.856 284.754 29.4524 , 
-56.1252 -54.6209 -65.5098 , 236.908 116.728 239.938 , 298.774 285.727 29.3175 , 
-56.312 -54.8018 -65.7172 , 237.023 116.772 240.079 , 299.691 286.7 29.182 , 
-56.4988 -54.9827 -65.9245 , 237.138 116.815 240.22 , 300.609 287.674 29.046 , 
-56.6856 -55.1636 -66.1319 , 237.253 116.859 240.361 , 301.528 288.649 28.9093 , 
-56.8725 -55.3446 -66.3393 , 237.368 116.902 240.502 , 302.447 289.625 28.772 , 
-57.0593 -55.5256 -66.5467 , 237.483 116.945 240.643 , 303.366 290.601 28.6341 , 
-57.2462 -55.7066 -66.7541 , 237.598 116.989 240.785 , 304.285 291.578 28.4956 , 
-57.4331 -55.8876 -66.9615 , 237.713 117.032 240.926 , 305.205 292.556 28.3566 , 
-57.6201 -56.0686 -67.1689 , 237.828 117.075 241.067 , 306.126 293.534 28.2169 , 
-57.807 -56.2497 -67.3763 , 237.942 117.118 241.209 , 307.046 294.513 28.0768 , 
-57.994 -56.4308 -67.5837 , 238.057 117.161 241.35 , 307.968 295.493 27.936 , 
-58.181 -56.6119 -67.7911 , 238.172 117.205 241.492 , 308.889 296.473 27.7947 , 
-58.368 -56.793 -67.9986 , 238.287 117.248 241.633 , 309.811 297.455 27.6528 , 
-58.555 -56.9741 -68.206 , 238.402 117.29 241.775 , 310.733 298.436 27.5104 , 
-58.7421 -57.1553 -68.4135 , 238.517 117.333 241.917 , 311.656 299.419 27.3674 , 
-58.9291 -57.3364 -68.6209 , 238.631 117.376 242.059 , 312.579 300.402 27.2239 , 
-59.1162 -57.5176 -68.8284 , 238.746 117.419 242.2 , 313.502 301.386 27.0799 , 
-59.3033 -57.6988 -69.0358 , 238.861 117.462 242.342 , 314.426 302.37 26.9353 , 
-59.4905 -57.88 -69.2433 , 238.976 117.505 242.484 , 315.35 303.355 26.7902 , 
-59.6776 -58.0613 -69.4508 , 239.09 117.547 242.626 , 316.274 304.341 26.6446 , 
-59.8648 -58.2425 -69.6583 , 239.205 117.59 242.768 , 317.199 305.327 26.4984 , 
-60.052 -58.4238 -69.8658 , 239.32 117.632 242.911 , 318.124 306.314 26.3518 , 
-60.2392 -58.6051 -70.0733 , 239.434 117.675 243.053 , 319.05 307.302 26.2046 , 
-60.4264 -58.7864 -70.2808 , 239.549 117.717 243.195 , 319.975 308.29 26.057 , 
-60.6136 -58.9677 -70.4883 , 239.663 117.76 243.337 , 320.902 309.279 25.9088 , 
-60.8009 -59.149 -70.6958 , 239.778 117.802 243.48 , 321.828 310.268 25.7602 , 
-60.9881 -59.3304 -70.9033 , 239.893 117.845 243.622 , 322.755 311.258 25.611 , 
-61.1754 -59.5118 -71.1109 , 240.007 117.887 243.765 , 323.683 312.249 25.4614 , 
-61.3627 -59.6932 -71.3184 , 240.122 117.929 243.907 , 324.61 313.24 25.3113 , 
-61.5501 -59.8746 -71.5259 , 240.236 117.971 244.05 , 325.538 314.232 25.1607 , 
-61.7374 -60.056 -71.7335 , 240.351 118.013 244.193 , 326.467 315.225 25.0097 , 
-61.9248 -60.2374 -71.941 , 240.465 118.056 244.335 , 327.396 316.218 24.8582 , 
-62.1122 -60.4189 -72.1486 , 240.58 118.098 244.478 , 328.325 317.212 24.7062 , 
-62.2996 -60.6004 -72.3562 , 240.694 118.14 244.621 , 329.254 318.206 24.5537 , 
-62.487 -60.7818 -72.5637 , 240.809 118.182 244.764 , 330.184 319.201 24.4009 , 
-62.6744 -60.9633 -72.7713 , 240.923 118.224 244.907 , 331.114 320.197 24.2475 , 
-62.8618 -61.1449 -72.9789 , 241.037 118.266 245.05 , 332.045 321.193 24.0937 , 
-63.0493 -61.3264 -73.1865 , 241.152 118.307 245.193 , 332.976 322.19 23.9395 , 
-63.2368 -61.508 -73.3941 , 241.266 118.349 245.336 , 333.907 323.187 23.7848 , 
-63.4243 -61.6895 -73.6017 , 241.38 118.391 245.479 , 334.838 324.185 23.6297 , 
-63.6118 -61.8711 -73.8093 , 241.495 118.433 245.622 , 335.77 325.184 23.4742 , 
-63.7994 -62.0527 -74.0169 , 241.609 118.474 245.765 , 336.703 326.183 23.3182 , 
-63.9869 -62.2343 -74.2245 , 241.723 118.516 245.908 , 337.635 327.183 23.1618 , 
-64.1745 -62.4159 -74.4321 , 241.838 118.558 246.052 , 338.568 328.183 23.005 , 
-64.3621 -62.5976 -74.6398 , 241.952 118.599 246.195 , 339.501 329.184 22.8477 , 
-64.5497 -62.7792 -74.8474 , 242.066 118.641 246.338 , 340.435 330.185 22.6901 , 
-64.7373 -62.9609 -75.055 , 242.18 118.682 246.482 , 341.369 331.187 22.5321 , 
-64.9249 -63.1426 -75.2627 , 242.295 118.724 246.625 , 342.303 332.189 22.3736 , 
-65.1125 -63.3243 -75.4703 , 242.409 118.765 246.769 , 343.238 333.192 22.2147 , 
-65.3002 -63.506 -75.678 , 242.523 118.806 246.912 , 344.173 334.196 22.0555 , 
-65.4879 -63.6878 -75.8857 , 242.637 118.848 247.056 , 345.108 335.2 21.8958 , 
-65.6756 -63.8695 -76.0933 , 242.751 118.889 247.2 , 346.044 336.205 21.7358 , 
-65.8633 -64.0513 -76.301 , 242.865 118.93 247.343 , 346.98 337.21 21.5754 , 
-66.051 -64.233 -76.5087 , 242.979 118.971 247.487 , 347.916 338.216 21.4145 , 
-66.2388 -64.4148 -76.7163 , 243.093 119.013 247.631 , 348.853 339.222 21.2533 , 
-66.4265 -64.5966 -76.924 , 243.208 119.054 247.775 , 349.79 340.229 21.0918 , 
-66.6143 -64.7785 -77.1317 , 243.322 119.095 247.919 , 350.727 341.236 20.9298 , 
-66.8021 -64.9603 -77.3394 , 243.436 119.136 248.063 , 351.665 342.244 20.7675 , 
-66.9899 -65.1421 -77.5471 , 243.55 119.177 248.207 , 352.603 343.252 20.6048 , 
-67.1777 -65.324 -77.7548 , 243.664 119.218 248.351 , 353.541 344.261 20.4418 , 
-67.3656 -65.5059 -77.9625 , 243.778 119.259 248.495 , 354.479 345.271 20.2783 , 
-67.5534 -65.6878 -78.1703 , 243.892 119.3 248.639 , 355.418 346.281 20.1146 , 
-67.7413 -65.8697 -78.378 , 244.006 119.341 248.783 , 356.358 347.291 19.9504 , 
-67.9292 -66.0516 -78.5857 , 244.119 119.381 248.927 , 357.297 348.302 19.7859 , 
-68.117 -66.2335 -78.7934 , 244.233 119.422 249.071 , 358.237 349.314 19.6211 , 
-68.305 -66.4155 -79.0012 , 244.347 119.463 249.216 , 359.177 350.326 19.4559 , 
-68.4929 -66.5974 -79.2089 , 244.461 119.504 249.36 , 360.118 351.338 19.2904 , 
-68.6808 -66.7794 -79.4167 , 244.575 119.544 249.504 , 361.058 352.351 19.1245 , 
-68.8688 -66.9614 -79.6244 , 244.689 119.585 249.649 , 362 353.365 18.9583 , 
-69.0567 -67.1434 -79.8322 , 244.803 119.626 249.793 , 362.941 354.379 18.7918 , 
-69.2447 -67.3254 -80.0399 , 244.916 119.666 249.937 , 363.883 355.393 18.6249 , 
-69.4327 -67.5074 -80.2477 , 245.03 119.707 250.082 , 364.825 356.408 18.4577 , 
-69.6207 -67.6895 -80.4555 , 245.144 119.747 250.226 , 365.767 357.423 18.2902 , 
-69.8088 -67.8715 -80.6632 , 245.258 119.788 250.371 , 366.71 358.439 18.1223 , 
-69.9968 -68.0536 -80.871 , 245.372 119.828 250.516 , 367.653 359.456 17.9542 , 
-70.1849 -68.2357 -81.0788 , 245.485 119.868 250.66 , 368.596 360.473 17.7857 , 
-70.3729 -68.4178 -81.2866 , 245.599 119.909 250.805 , 369.54 361.49 17.6169 , 
-70.561 -68.5999 -81.4944 , 245.713 119.949 250.95 , 370.484 362.508 17.4477 , 
-70.7491 -68.782 -81.7022 , 245.826 119.989 251.094 , 371.428 363.526 17.2783 , 
-70.9372 -68.9641 -81.91 , 245.94 120.03 251.239 , 372.372 364.545 17.1086 , 
-71.1253 -69.1463 -82.1178 , 246.054 120.07 251.384 , 373.317 365.564 16.9385 , 
-71.3135 -69.3284 -82.3256 , 246.167 120.11 251.529 , 374.262 366.584 16.7682 , 
-71.5016 -69.5106 -82.5334 , 246.281 120.15 251.674 , 375.208 367.604 16.5975 , 
-71.6898 -69.6928 -82.7412 , 246.394 120.19 251.819 , 376.153 368.624 16.4266 , 
-71.878 -69.875 -82.949 , 246.508 120.23 251.964 , 377.099 369.645 16.2553 , 
-72.0661 -70.0572 -83.1569 , 246.622 120.27 252.108 , 378.045 370.667 16.0838 , 
-72.2544 -70.2394 -83.3647 , 246.735 120.311 252.254 , 378.992 371.689 15.912 , 
-72.4426 -70.4216 -83.5725 , 246.849 120.351 252.399 , 379.939 372.711 15.7399 , 
-72.6308 -70.6039 -83.7804 , 246.962 120.39 252.544 , 380.886 373.734 15.5675 , 
-72.819 -70.7861 -83.9882 , 247.076 120.43 252.689 , 381.833 374.757 15.3948 , 
-73.0073 -70.9684 -84.1961 , 247.189 120.47 252.834 , 382.781 375.781 15.2218 , 
-73.1956 -71.1507 -84.4039 , 247.303 120.51 252.979 , 383.729 376.805 15.0486 , 
-73.3838 -71.333 -84.6118 , 247.416 120.55 253.124 , 384.677 377.83 14.875 , 
-73.5721 -71.5153 -84.8196 , 247.53 120.59 253.27 , 385.626 378.855 14.7012 , 
-73.7605 -71.6976 -85.0275 , 247.643 120.63 253.415 , 386.575 379.88 14.5272 , 
-73.9488 -71.8799 -85.2354 , 247.756 120.669 253.56 , 387.524 380.906 14.3528 , 
-74.1371 -72.0623 -85.4433 , 247.87 120.709 253.705 , 388.473 381.932 14.1782 , 
-74.3254 -72.2446 -85.6511 , 247.983 120.749 253.851 , 389.423 382.959 14.0034 , 
-74.5138 -72.427 -85.859 , 248.097 120.788 253.996 , 390.373 383.986 13.8282 , 
-74.7022 -72.6093 -86.0669 , 248.21 120.828 254.142 , 391.323 385.014 13.6528 , 
-74.8906 -72.7917 -86.2748 , 248.323 120.868 254.287 , 392.274 386.042 13.4772 , 
-75.079 -72.9741 -86.4827 , 248.437 120.907 254.433 , 393.225 387.07 13.3013 , 
-75.2674 -73.1565 -86.6906 , 248.55 120.947 254.578 , 394.176 388.099 13.1251 , 
-75.4558 -73.339 -86.8985 , 248.663 120.986 254.724 , 395.127 389.128 12.9487 , 
-75.6442 -73.5214 -87.1064 , 248.776 121.026 254.869 , 396.079 390.158 12.772 , 
-75.8327 -73.7038 -87.3143 , 248.89 121.065 255.015 , 397.03 391.188 12.5951 , 
-76.0211 -73.8863 -87.5222 , 249.003 121.104 255.16 , 397.983 392.218 12.4179 , 
-76.2096 -74.0688 -87.7301 , 249.116 121.144 255.306 , 398.935 393.249 12.2405 , 
-76.3981 -74.2512 -87.9381 , 249.229 121.183 255.452 , 399.888 394.28 12.0628 , 
-76.5866 -74.4337 -88.146 , 249.343 121.223 255.598 , 400.841 395.312 11.8849 , 
-76.7751 -74.6162 -88.3539 , 249.456 121.262 255.743 , 401.794 396.344 11.7068 , 
-76.9636 -74.7987 -88.5619 , 249.569 121.301 255.889 , 402.747 397.376 11.5284 , 
-77.1521 -74.9813 -88.7698 , 249.682 121.34 256.035 , 403.701 398.409 11.3498 , 
-77.3407 -75.1638 -88.9777 , 249.795 121.38 256.181 , 404.655 399.442 11.1709 , 
-77.5292 -75.3463 -89.1857 , 249.908 121.419 256.326 , 405.609 400.476 10.9919 , 
-77.7178 -75.5289 -89.3936 , 250.021 121.458 256.472 , 406.564 401.51 10.8126 , 
-77.9063 -75.7114 -89.6016 , 250.134 121.497 256.618 , 407.519 402.544 10.633 , 
-78.0949 -75.894 -89.8095 , 250.248 121.536 256.764 , 408.474 403.579 10.4533 , 
-78.2835 -76.0766 -90.0175 , 250.361 121.575 256.91 , 409.429 404.614 10.2733 , 
-78.4721 -76.2592 -90.2255 , 250.474 121.614 257.056 , 410.385 405.649 10.093 , 
-78.6608 -76.4418 -90.4334 , 250.587 121.653 257.202 , 411.34 406.685 9.91261 , 
-78.8494 -76.6244 -90.6414 , 250.7 121.692 257.348 , 412.296 407.721 9.73196 , 
-79.038 -76.8071 -90.8494 , 250.813 121.731 257.494 , 413.253 408.758 9.55108 , 
-79.2267 -76.9897 -91.0574 , 250.926 121.77 257.64 , 414.209 409.795 9.36999 , 
-79.4154 -77.1723 -91.2653 , 251.039 121.809 257.786 , 415.166 410.832 9.18869 , 
-79.604 -77.355 -91.4733 , 251.152 121.848 257.933 , 416.123 411.87 9.00717 , 
-79.7927 -77.5377 -91.6813 , 251.265 121.887 258.079 , 417.08 412.908 8.82544 , 
-79.9814 -77.7204 -91.8893 , 251.378 121.926 258.225 , 418.038 413.946 8.6435 , 
-80.1701 -77.903 -92.0973 , 251.491 121.965 258.371 , 418.996 414.985 8.46135 , 
-80.3588 -78.0857 -92.3053 , 251.603 122.003 258.517 , 419.954 416.024 8.27899 , 
-80.5476 -78.2685 -92.5133 , 251.716 122.042 258.664 , 420.912 417.064 8.09643 , 
-80.7363 -78.4512 -92.7213 , 251.829 122.081 258.81 , 421.871 418.104 7.91367 , 
-80.9251 -78.6339 -92.9293 , 251.942 122.12 258.956 , 422.829 419.144 7.7307 , 
-81.1138 -78.8167 -93.1373 , 252.055 122.158 259.103 , 423.788 420.184 7.54753 , 
-81.3026 -78.9994 -93.3454 , 252.168 122.197 259.249 , 424.748 421.225 7.36416 , 
-81.4914 -79.1822 -93.5534 , 252.281 122.236 259.395 , 425.707 422.266 7.1806 , 
-81.6802 -79.3649 -93.7614 , 252.394 122.274 259.542 , 426.667 423.308 6.99683 , 
-81.869 -79.5477 -93.9694 , 252.506 122.313 259.688 , 427.627 424.35 6.81288 , 
-82.0578 -79.7305 -94.1775 , 252.619 122.351 259.835 , 428.587 425.392 6.62873 , 
-82.2466 -79.9133 -94.3855 , 252.732 122.39 259.981 , 429.548 426.435 6.44438 , 
-82.4355 -80.0961 -94.5935 , 252.845 122.428 260.128 , 430.508 427.478 6.25985 , 
-82.6243 -80.2789 -94.8016 , 252.957 122.467 260.274 , 431.469 428.521 6.07513 , 
-82.8132 -80.4618 -95.0096 , 253.07 122.505 260.421 , 432.43 429.565 5.89022 , 
-83.0021 -80.6446 -95.2177 , 253.183 122.544 260.567 , 433.392 430.609 5.70512 , 
-83.1909 -80.8275 -95.4257 , 253.296 122.582 260.714 , 434.353 431.653 5.51984 , 
-83.3798 -81.0103 -95.6338 , 253.408 122.621 260.86 , 435.315 432.697 5.33437 , 
-83.5687 -81.1932 -95.8418 , 253.521 122.659 261.007 , 436.277 433.742 5.14872 , 
-83.7576 -81.3761 -96.0499 , 253.634 122.697 261.154 , 437.239 434.788 4.96289 , 
-83.9466 -81.5589 -96.258 , 253.746 122.736 261.3 , 438.202 435.833 4.77688 , 
-84.1355 -81.7418 -96.466 , 253.859 122.774 261.447 , 439.165 436.879 4.5907 , 
-84.3244 -81.9247 -96.6741 , 253.972 122.812 261.594 , 440.128 437.925 4.40433 , 
-84.5134 -82.1077 -96.8822 , 254.084 122.85 261.74 , 441.091 438.972 4.21779 , 
-84.7023 -82.2906 -97.0903 , 254.197 122.889 261.887 , 442.054 440.019 4.03107 , 
-84.8913 -82.4735 -97.2983 , 254.31 122.927 262.034 , 443.018 441.066 3.84418 , 
-85.0803 -82.6565 -97.5064 , 254.422 122.965 262.181 , 443.982 442.113 3.65712 , 
-85.2693 -82.8394 -97.7145 , 254.535 123.003 262.328 , 444.946 443.161 3.46989 , 
-85.4583 -83.0224 -97.9226 , 254.647 123.041 262.474 , 445.91 444.209 3.28248 , 
-85.6473 -83.2053 -98.1307 , 254.76 123.08 262.621 , 446.875 445.258 3.09491 , 
-85.8363 -83.3883 -98.3388 , 254.872 123.118 262.768 , 447.839 446.306 2.90717 , 
-86.0253 -83.5713 -98.5469 , 254.985 123.156 262.915 , 448.804 447.355 2.71927 , 
-86.2144 -83.7543 -98.755 , 255.097 123.194 263.062 , 449.769 448.405 2.5312 , 
-86.4034 -83.9373 -98.9631 , 255.21 123.232 263.209 , 450.735 449.454 2.34297 , 
-86.5925 -84.1203 -99.1712 , 255.322 123.27 263.356 , 451.7 450.504 2.15457 , 
-86.7815 -84.3033 -99.3793 , 255.435 123.308 263.503 , 452.666 451.555 1.96601 , 
-86.9706 -84.4864 -99.5874 , 255.547 123.346 263.65 , 453.632 452.605 1.77729 , 
-87.1597 -84.6694 -99.7955 , 255.66 123.384 263.797 , 454.598 453.656 1.58841 , 
-87.3488 -84.8525 -100.004 , 255.772 123.422 263.944 , 455.565 454.707 1.39938 , 
-87.5379 -85.0355 -100.212 , 255.885 123.46 264.091 , 456.531 455.759 1.21018 , 
-87.727 -85.2186 -100.42 , 255.997 123.498 264.238 , 457.498 456.81 1.02083 , 
-87.9161 -85.4017 -100.628 , 256.11 123.535 264.385 , 458.465 457.862 0.831327 , 
-88.1053 -85.5848 -100.836 , 256.222 123.573 264.532 , 459.433 458.915 0.641668 , 
-88.2944 -85.7678 -101.044 , 256.334 123.611 264.679 , 460.4 459.967 0.451856 , 
-88.4836 -85.951 -101.252 , 256.447 123.649 264.826 , 461.368 461.02 0.261892 , 
-88.6727 -86.1341 -101.461 , 256.559 123.687 264.973 , 462.336 462.073 0.0717776 , 
-88.8619 -86.3172 -101.669 , 256.672 123.724 265.121 , 463.304 463.127 -0.118487 , 
-89.0511 -86.5003 -101.877 , 256.784 123.762 265.268 , 464.272 464.181 -0.3089 , 
-89.2403 -86.6834 -102.085 , 256.896 123.8 265.415 , 465.24 465.235 -0.499461 , 
-89.4294 -86.8666 -102.293 , 257.009 123.838 265.562 , 466.209 466.289 -0.690169 , 
-89.6186 -87.0497 -102.501 , 257.121 123.875 265.709 , 467.178 467.344 -0.881022 , 
-89.8079 -87.2329 -102.71 , 257.233 123.913 265.857 , 468.147 468.398 -1.07202 , 
-89.9971 -87.4161 -102.918 , 257.345 123.951 266.004 , 469.116 469.454 -1.26316 , 
-90.1863 -87.5992 -103.126 , 257.458 123.988 266.151 , 470.086 470.509 -1.45445 , 
-90.3756 -87.7824 -103.334 , 257.57 124.026 266.299 , 471.056 471.565 -1.64587 , 
-90.5648 -87.9656 -103.542 , 257.682 124.064 266.446 , 472.025 472.621 -1.83744 , 
-90.7541 -88.1488 -103.75 , 257.795 124.101 266.593 , 472.996 473.677 -2.02915 , 
-90.9433 -88.332 -103.959 , 257.907 124.139 266.741 , 473.966 474.733 -2.221 , 
-91.1326 -88.5152 -104.167 , 258.019 124.176 266.888 , 474.936 475.79 -2.41298 , 
-91.3219 -88.6985 -104.375 , 258.131 124.214 267.035 , 475.907 476.847 -2.6051 , 
-91.5112 -88.8817 -104.583 , 258.243 124.251 267.183 , 476.878 477.905 -2.79736 , 
-91.7005 -89.0649 -104.791 , 258.356 124.289 267.33 , 477.849 478.962 -2.98976 , 
-91.8898 -89.2482 -104.999 , 258.468 124.326 267.478 , 478.82 480.02 -3.18229 , 
-92.0791 -89.4315 -105.208 , 258.58 124.364 267.625 , 479.792 481.078 -3.37495 , 
-92.2684 -89.6147 -105.416 , 258.692 124.401 267.773 , 480.763 482.136 -3.56774 , 
-92.4578 -89.798 -105.624 , 258.804 124.438 267.92 , 481.735 483.195 -3.76067 , 
-92.6471 -89.9813 -105.832 , 258.916 124.476 268.068 , 482.707 484.254 -3.95373 , 
-92.8364 -90.1646 -106.04 , 259.029 124.513 268.215 , 483.679 485.313 -4.14692 , 
-93.0258 -90.3479 -106.249 , 259.141 124.551 268.363 , 484.651 486.373 -4.34023 , 
-93.2152 -90.5312 -106.457 , 259.253 124.588 268.51 , 485.624 487.432 -4.53368 , 
-93.4046 -90.7145 -106.665 , 259.365 124.625 268.658 , 486.597 488.492 -4.72725 , 
-93.5939 -90.8978 -106.873 , 259.477 124.663 268.805 , 487.57 489.552 -4.92095 , 
-93.7833 -91.0811 -107.081 , 259.589 124.7 268.953 , 488.543 490.613 -5.11478 , 
-93.9727 -91.2645 -107.29 , 259.701 124.737 269.101 , 489.516 491.673 -5.30873 , 
-94.1621 -91.4478 -107.498 , 259.813 124.774 269.248 , 490.489 492.734 -5.50281 , 
-94.3515 -91.6311 -107.706 , 259.925 124.812 269.396 , 491.463 493.796 -5.69701 , 
-94.541 -91.8145 -107.914 , 260.037 124.849 269.544 , 492.437 494.857 -5.89133 , 
-94.7304 -91.9979 -108.123 , 260.149 124.886 269.691 , 493.411 495.919 -6.08578 , 
-94.9198 -92.1812 -108.331 , 260.261 124.923 269.839 , 494.385 496.981 -6.28034 , 
-95.1093 -92.3646 -108.539 , 260.373 124.96 269.987 , 495.36 498.043 -6.47503 , 
-95.2988 -92.548 -108.747 , 260.485 124.998 270.134 , 496.334 499.105 -6.66984 , 
-95.4882 -92.7314 -108.956 , 260.597 125.035 270.282 , 497.309 500.168 -6.86476 , 
-95.6777 -92.9148 -109.164 , 260.709 125.072 270.43 , 498.284 501.231 -7.05981 , 
-95.8672 -93.0982 -109.372 , 260.821 125.109 270.578 , 499.259 502.294 -7.25497 , 
-96.0567 -93.2816 -109.58 , 260.933 125.146 270.725 , 500.234 503.357 -7.45025 , 
-96.2462 -93.4651 -109.789 , 261.045 125.183 270.873 , 501.209 504.421 -7.64564 , 
-96.4357 -93.6485 -109.997 , 261.157 125.22 271.021 , 502.185 505.485 -7.84115 , 
-96.6252 -93.8319 -110.205 , 261.269 125.257 271.169 , 503.161 506.549 -8.03677 , 
-96.8147 -94.0154 -110.413 , 261.381 125.294 271.317 , 504.137 507.613 -8.23251 , 
-97.0042 -94.1988 -110.622 , 261.493 125.331 271.464 , 505.113 508.678 -8.42836 , 
-97.1937 -94.3823 -110.83 , 261.605 125.368 271.612 , 506.089 509.742 -8.62433 , 
-97.3833 -94.5658 -111.038 , 261.717 125.405 271.76 , 507.066 510.807 -8.8204 , 
-97.5728 -94.7492 -111.246 , 261.829 125.442 271.908 , 508.042 511.873 -9.01659 , 
-97.7624 -94.9327 -111.455 , 261.94 125.479 272.056 , 509.019 512.938 -9.21289 , 
-97.952 -95.1162 -111.663 , 262.052 125.516 272.204 , 509.996 514.004 -9.40929 , 
-98.1415 -95.2997 -111.871 , 262.164 125.553 272.352 , 510.973 515.07 -9.60581 , 
